Aging,Aver_thickness,Aver_pore_size,Total_pore_volume,Micropore_volume,Specific_surface_Area,Kinetic_diameter ,Critical_temp,Polarizability,Temperature,Delta_pressure,Feed_flow_rate,Molar_mass _sweep_gas,Sweep_gas_flow,Molar_fraction,Permeability
1200,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
0,90,NaN,0.624612205,NaN,685,2.6,0,2.91,298,100000,NaN,NaN,NaN,1,758
0,110,NaN,0.663531316,NaN,759,2.6,0,2.91,298,100000,NaN,NaN,NaN,1,1706
1200,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,1,1140
0,90,NaN,0.624612205,NaN,685,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
0,110,NaN,0.663531316,NaN,759,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
1200,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
0,90,NaN,0.624612205,NaN,685,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
0,110,NaN,0.663531316,NaN,759,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
1200,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
0,90,NaN,0.624612205,NaN,685,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
0,110,NaN,0.663531316,NaN,759,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
1200,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
2117,125.4,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
2117,125.4,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
2117,125.4,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
2117,125.4,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
2117,125.4,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
2117,125.4,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,1,1128
2117,125.4,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,150,40,30,NaN,NaN
2117,125.4,NaN,NaN,NaN,NaN,2.6,0,2.91,298,200000,150,40,30,NaN,NaN
2117,125.4,NaN,NaN,NaN,NaN,2.6,0,2.91,298,300000,150,40,30,NaN,NaN
2117,125.4,NaN,NaN,NaN,NaN,2.6,0,2.91,298,400000,150,40,30,NaN,NaN
2117,125.4,NaN,NaN,NaN,NaN,2.6,0,2.91,298,500000,150,40,30,NaN,NaN
2117,125.4,NaN,NaN,NaN,NaN,2.6,0,2.91,298,600000,150,40,30,NaN,NaN
4.040304,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
37.86442,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
249.21606,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
6.974891,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
63.0675,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
345.4513,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
2.799213,110.9054,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
27.43403,110.9054,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
186.2796,110.9054,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
4.040304,132.508,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
